method,setting,split,metric_name,precision,recall,f1,tp,fp,fn,prediction_path,metric_path
openai_llm,zero_shot_limit2,test,blurb_token_micro_f1,0.0,0.0,0.0,0,0,16364,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_text,test,blurb_token_micro_f1,0.47123714552820195,0.462050843314593,0.46659878428831497,7561,8484,8803,results/preds/llm/openai_zero_shot_text/validated.spans.jsonl,results/metrics/openai_zero_shot_text.metrics.json
openai_llm,few_shot_text,test,blurb_token_micro_f1,0.5380859916782247,0.5927034954778783,0.5640757218878129,9699,8326,6665,results/preds/llm/openai_few_shot_text/validated.spans.jsonl,results/metrics/openai_few_shot_text.metrics.json
openai_llm,zero_shot_text_v2,test,blurb_token_micro_f1,0.4215330166713235,0.5531654852114397,0.4784608065965431,9052,12422,7312,results/preds/llm/openai_zero_shot_text_v2/validated.spans.jsonl,results/metrics/openai_zero_shot_text_v2.metrics.json
openai_llm,few_shot_text_v2,test,blurb_token_micro_f1,0.47182901843918795,0.6192251283304816,0.5355708245243129,10133,11343,6231,results/preds/llm/openai_few_shot_text_v2/validated.spans.jsonl,results/metrics/openai_few_shot_text_v2.metrics.json
openai_llm,few_shot_text_v3,test,blurb_token_micro_f1,0.4491226542430444,0.6303471033977023,0.524522641173629,10315,12652,6049,results/preds/llm/openai_few_shot_text_v3/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3.metrics.json
openai_llm,few_shot_text_v3_i_only,test,blurb_token_micro_f1,0.4727098627513565,0.6335248105597653,0.5414283849066458,10367,11564,5997,results/preds/llm/openai_few_shot_text_v3_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3_i_only.metrics.json
openai_llm,few_shot_text_v4,test,blurb_token_micro_f1,0.509043659043659,0.598508922023955,0.5501629030446016,9794,9446,6570,results/preds/llm/openai_few_shot_text_v4/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4.metrics.json
openai_llm,few_shot_text_v4_i_only,test,blurb_token_micro_f1,0.5087957378367511,0.6186140307993155,0.5583563154991726,10123,9773,6241,results/preds/llm/openai_few_shot_text_v4_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4_i_only.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,blurb_token_micro_f1,0.454715668966993,0.519432901491078,0.4849245514447899,8500,10193,7864,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,blurb_token_micro_f1,0.4447210891561159,0.5130163774138352,0.4764336993842399,8395,10482,7969,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.metrics.json
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,blurb_token_micro_f1,0.6370290376769858,0.32443167929601563,0.42991335330796016,5309,3025,11055,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test,blurb_token_micro_f1,0.5466748017083588,0.054754338792471276,0.09953896572793423,896,743,15468,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,blurb_token_micro_f1,0.5466748017083588,0.5261303581914268,0.5362058647516458,896,743,807,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.dev20.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.metrics.json
