method,setting,split,metric_name,precision,recall,f1,tp,fp,fn,prediction_path,metric_path
openai_llm,zero_shot_limit2,test,run,,,,,,,results/preds/llm/openai_zero_shot/validated.spans.jsonl,results/metrics/openai_zero_shot.metrics.json
openai_llm,zero_shot_text,test,run,,,,,,,results/preds/llm/openai_zero_shot_text/validated.spans.jsonl,results/metrics/openai_zero_shot_text.metrics.json
openai_llm,few_shot_text,test,run,,,,,,,results/preds/llm/openai_few_shot_text/validated.spans.jsonl,results/metrics/openai_few_shot_text.metrics.json
openai_llm,zero_shot_text_v2,test,run,,,,,,,results/preds/llm/openai_zero_shot_text_v2/validated.spans.jsonl,results/metrics/openai_zero_shot_text_v2.metrics.json
openai_llm,few_shot_text_v2,test,run,,,,,,,results/preds/llm/openai_few_shot_text_v2/validated.spans.jsonl,results/metrics/openai_few_shot_text_v2.metrics.json
openai_llm,few_shot_text_v3,test,run,,,,,,,results/preds/llm/openai_few_shot_text_v3/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3.metrics.json
openai_llm,few_shot_text_v3_i_only,test,run,,,,,,,results/preds/llm/openai_few_shot_text_v3_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v3_i_only.metrics.json
openai_llm,few_shot_text_v4,test,run,,,,,,,results/preds/llm/openai_few_shot_text_v4/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4.metrics.json
openai_llm,few_shot_text_v4_i_only,test,run,,,,,,,results/preds/llm/openai_few_shot_text_v4_i_only/validated.spans.jsonl,results/metrics/openai_few_shot_text_v4_i_only.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r1,test,run,,,,,,,results/preds/llm/few_shot_text_newprovider_2026-05-15_r1/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r1.metrics.json
openai_llm,few_shot_text_newprovider_2026-05-15_r2_w8,test,run,,,,,,,results/preds/llm/few_shot_text_newprovider_2026-05-15_r2_w8/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r2_w8.metrics.json
llm,few_shot_text_newprovider_2026-05-15_r3_o_mentions,test,run,,,,,,,results/preds/llm/few_shot_text_newprovider_2026-05-15_r3_o_mentions/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-15_r3_o_mentions.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test,run,,,,,,,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.metrics.json
llm,few_shot_text_bestof_split_v1_dev20,test_dev20,run,,,,,,,results/preds/llm/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20/validated.dev20.spans.jsonl,results/metrics/few_shot_text_newprovider_2026-05-16_r4_bestof_split_pio_dev20.dev20.metrics.json
